id,idade,renda,cidade,categoria,nota,feedback
46,21,5833.82,São Paulo,B,8.0,Bom
47,46,3415.64,Belo Horizonte,A,7.3,Bom
48,40,10500.68,Vitória,A,6.0,Bom
49,81,19768.68,São Paulo,B,5.1,Bom
50,26,26185.21,Belo Horizonte,A,6.6,Bom
51,22,37879.97,Belo Horizonte,B,5.1,Bom
52,40,39116.74,Belo Horizonte,A,9.7,Bom
53,68,38803.15,Belo Horizonte,A,6.7,Bom
54,,29472.5,Vitória,B,7.5,Bom
55,24,7825.05,Belo Horizonte,B,7.1,Bom
56,73,11244.05,Belo Horizonte,B,7.1,Bom
57,38,15827.6,Belo Horizonte,B,9.2,Bom
58,18,14103.01,São Paulo,A,6.8,Bom
59,77,35935.45,Vitória,A,9.9,Bom
60,48,13240.61,Belo Horizonte,A,9.9,Bom
61,43,,Belo Horizonte,A,6.6,
62,44,16549.8,Vitória,B,7.2,Bom
63,61,34909.19,Vitória,B,7.7,Bom
64,23,39695.99,Belo Horizonte,A,7.0,Bom
65,30,8313.71,Vitória,A,6.5,Bom
66,72,11520.07,Vitória,B,6.4,Bom
67,35,10072.92,Vitória,A,8.8,Bom
68,61,36651.11,Vitória,A,5.9,Bom
69,64,24903.55,São Paulo,A,8.4,Bom
70,59,34710.84,Belo Horizonte,B,8.5,Bom
71,69,20590.19,Rio de Janeiro,A,7.7,Bom
72,41,20427.72,Vitória,B,8.3,Bom
73,79,31214.19,Vitória,B,9.7,Bom
74,58,39029.93,Rio de Janeiro,A,7.4,Bom
75,21,29600.34,Vitória,B,8.9,Bom
76,37,27035.57,Rio de Janeiro,A,7.1,Bom
77,23,45855.85,São Paulo,A,5.4,Bom
78,57,42765.04,Vitória,B,6.1,Bom
79,75,10054.12,Rio de Janeiro,B,8.7,Bom
80,78,2471.17,Vitória,B,5.1,Bom
81,45,9039.45,São Paulo,A,9.2,Bom
82,70,29917.78,Belo Horizonte,B,6.5,Bom
83,75,30208.54,Vitória,B,5.5,Bom
84,76,14566.08,São Paulo,A,7.2,Bom
85,23,26329.74,Rio de Janeiro,A,6.2,Bom
86,56,37432.96,Vitória,A,5.2,Bom
87,58,6885.02,Belo Horizonte,A,6.6,Bom
88,27,40847.65,Vitória,B,9.9,Bom
89,48,30246.9,São Paulo,A,6.9,Bom
90,36,35627.36,Rio de Janeiro,B,6.6,Bom
91,79,33479.24,Vitória,B,5.4,Bom
92,27,28851.01,Vitória,A,5.9,Bom
93,18,14826.32,Belo Horizonte,A,7.7,Bom
94,57,18884.25,Belo Horizonte,B,5.4,Bom
95,62,19998.36,Rio de Janeiro,B,8.9,Bom
96,39,16084.93,São Paulo,A,8.3,Bom
97,66,24730.84,Rio de Janeiro,B,9.0,Bom
98,16,9840.74,São Paulo,A,8.5,Bom
99,37,28027.05,Belo Horizonte,A,,
100,32,3510.5,Vitória,B,7.0,Bom
101,31,32788.26,São Paulo,A,7.8,Bom
102,48,25994.83,Vitória,B,8.0,Bom
103,64,10245.83,São Paulo,B,9.1,Bom
104,24,40395.33,Rio de Janeiro,B,6.5,Bom
105,31,15577.67,Belo Horizonte,B,8.3,Bom
106,58,23324.2,Rio de Janeiro,A,7.3,Bom
107,34,25221.88,Belo Horizonte,A,6.7,Bom
108,21,3036.63,Rio de Janeiro,B,6.2,Bom
109,68,36948.85,Belo Horizonte,B,6.8,Bom
110,62,10147.42,Vitória,B,9.1,Bom
111,56,18517.77,São Paulo,B,9.6,Bom
112,55,37798.06,Belo Horizonte,A,9.0,Bom
113,55,17817.11,Belo Horizonte,A,9.1,Bom
114,57,6247.47,Belo Horizonte,A,9.1,Bom
115,76,13784.37,Belo Horizonte,B,9.5,Bom
116,32,25418.45,São Paulo,A,7.4,Bom
117,42,35428.0,São Paulo,A,6.5,Bom
118,55,39577.14,São Paulo,B,5.8,Bom
119,78,37044.7,Vitória,B,6.9,Bom
120,76,44286.04,São Paulo,B,8.5,Bom
121,58,30612.85,,A,9.3,Bom
122,18,12152.88,Rio de Janeiro,A,9.5,Bom
123,49,44702.3,Vitória,B,5.1,Bom
124,40,20665.54,Belo Horizonte,B,7.3,Bom
125,77,4137.77,Vitória,B,8.4,Bom
126,67,14025.61,São Paulo,B,8.5,Bom
127,75,22874.33,Vitória,A,5.9,Bom
128,58,6500.38,São Paulo,A,7.3,Bom
129,68,10849.54,São Paulo,A,6.5,Bom
130,28,38987.58,Vitória,A,7.2,Bom
131,81,14819.48,Rio de Janeiro,B,6.6,Bom
132,68,4267.21,São Paulo,B,10.0,Bom
133,23,43034.17,São Paulo,B,7.5,Bom
134,77,41017.18,Rio de Janeiro,A,5.4,Bom
135,19,10070.03,São Paulo,B,7.3,Bom
136,30,28455.91,Belo Horizonte,A,9.2,Bom
137,76,32951.52,Belo Horizonte,B,6.8,Bom
138,65,21748.35,Vitória,A,5.1,Bom
139,39,4143.52,Belo Horizonte,A,9.1,Bom
140,67,15214.35,Belo Horizonte,B,5.2,Bom
141,,5403.69,Belo Horizonte,B,6.2,Bom
142,46,20060.0,Vitória,A,8.7,Bom
143,64,41095.38,Rio de Janeiro,B,8.1,Bom
144,40,33431.68,Vitória,B,7.7,Bom
145,54,34720.41,Vitória,B,5.5,Bom
146,22,3806.05,São Paulo,A,9.5,Bom
147,32,41112.82,Rio de Janeiro,B,6.6,Bom
148,65,26663.93,Belo Horizonte,A,9.9,Bom
149,75,6998.35,Belo Horizonte,B,9.5,Bom
150,36,13419.74,Vitória,A,7.9,Bom
151,61,18278.34,Rio de Janeiro,A,5.8,Bom
152,51,37373.65,Belo Horizonte,A,7.7,Bom
153,38,33665.54,Vitória,A,9.9,Bom
154,82,23154.59,Vitória,A,6.4,Bom
155,70,45720.74,Belo Horizonte,B,6.4,Bom
156,5,637.71,São Paulo,B,4.7,Bom
157,36,31904.3,Rio de Janeiro,A,6.2,Bom
158,35,11449.54,Belo Horizonte,A,7.7,Bom
159,67,18790.02,São Paulo,B,8.4,Bom
160,63,25251.04,Vitória,B,6.2,Bom
161,79,25915.74,São Paulo,B,7.3,Bom
162,61,18660.7,Vitória,B,6.6,Bom
163,16,26662.69,São Paulo,A,5.4,Bom
164,17,22701.94,Belo Horizonte,A,5.9,Bom
165,44,35593.88,Vitória,B,6.8,Bom
166,48,30088.1,Belo Horizonte,B,5.1,Bom
167,61,10321.32,São Paulo,B,5.0,Bom
168,53,14305.16,Vitória,A,8.0,Bom
169,48,21814.79,Belo Horizonte,A,6.4,Bom
170,32,36618.83,Belo Horizonte,B,5.8,Bom
171,17,40253.85,Vitória,A,8.1,Bom
172,58,18690.23,Rio de Janeiro,B,5.1,Bom
173,75,33751.16,Rio de Janeiro,B,6.9,Bom
174,55,46082.74,Vitória,B,7.5,Bom
175,70,28082.78,Rio de Janeiro,B,7.0,Bom
176,25,16772.1,Rio de Janeiro,A,8.0,Bom
177,61,3584.41,Rio de Janeiro,A,6.3,Bom
178,39,7518.04,Rio de Janeiro,B,9.5,Bom
179,46,12415.38,São Paulo,A,8.6,Bom
180,42,16103.8,São Paulo,B,5.7,Bom
181,39,45364.92,Vitória,B,7.2,Bom
182,22,16142.16,Vitória,B,5.4,Bom
183,52,33352.34,Rio de Janeiro,B,6.3,Bom
184,44,11151.48,Belo Horizonte,B,8.7,Bom
185,,38097.24,São Paulo,A,6.9,Bom
186,21,17740.32,São Paulo,A,5.2,Bom
187,36,4934.76,Rio de Janeiro,A,5.7,Bom
188,41,33337.17,Rio de Janeiro,A,9.9,Bom
189,28,12293.68,Vitória,B,5.9,Bom
190,79,17910.17,Belo Horizonte,B,7.9,Bom
191,29,44193.01,Belo Horizonte,A,5.2,Bom
192,34,28795.1,Vitória,B,5.9,Bom
193,24,29175.16,Rio de Janeiro,B,6.9,Bom
194,45,2332.59,Belo Horizonte,A,9.5,Bom
195,35,29134.84,Rio de Janeiro,A,7.9,Bom
196,75,26425.96,São Paulo,A,8.9,Bom
197,27,43571.87,Vitória,B,9.1,Bom
198,29,15239.54,Vitória,A,5.1,Bom
199,72,29307.1,Belo Horizonte,B,9.3,Bom
200,35,16000.81,Rio de Janeiro,A,7.4,Bom
201,78,21977.41,Vitória,B,7.3,Bom
202,72,45554.78,Belo Horizonte,B,6.0,Bom
203,40,37753.39,Vitória,A,5.1,Bom
204,59,15718.99,Vitória,A,6.5,Bom
205,65,45285.29,Rio de Janeiro,B,9.5,Bom
206,23,12165.88,Belo Horizonte,B,7.0,Bom
207,18,13413.55,São Paulo,B,5.2,Bom
208,62,29425.3,São Paulo,A,9.0,Bom
209,67,30511.52,Rio de Janeiro,B,5.2,Bom
210,60,26022.13,Belo Horizonte,B,10.0,Bom
211,38,41917.37,São Paulo,A,7.8,Bom
212,60,2217.38,Vitória,B,8.7,Bom
213,79,13051.7,Belo Horizonte,A,8.2,Bom
214,32,8750.68,,B,6.6,Bom
215,46,7133.23,Vitória,B,8.1,Bom
216,31,9831.31,Vitória,A,6.6,Bom
217,61,38183.64,Vitória,B,6.1,Bom
218,58,35093.64,Belo Horizonte,B,9.6,Bom
219,79,36202.19,Rio de Janeiro,B,8.7,Bom
220,18,8939.73,Vitória,B,7.2,Bom
221,62,15105.12,Belo Horizonte,B,6.6,Bom
222,35,9948.61,Vitória,,7.9,
223,76,17388.53,Belo Horizonte,A,8.2,Bom
224,42,34373.34,Rio de Janeiro,A,8.5,Bom
225,60,26301.92,Rio de Janeiro,B,8.7,Bom
226,19,23071.67,Belo Horizonte,B,9.7,Bom
227,54,11380.6,Belo Horizonte,B,6.4,Bom
228,76,18896.37,,B,8.4,Bom
229,70,43588.8,Vitória,A,6.1,Bom
230,29,7359.44,São Paulo,B,8.3,Bom
231,36,1645.57,Belo Horizonte,B,6.8,Bom
232,30,36723.72,Rio de Janeiro,A,7.6,Bom
233,38,21314.46,Vitória,A,9.1,Bom
234,81,16046.68,Rio de Janeiro,B,9.1,Bom
235,54,10865.35,Belo Horizonte,A,7.1,Bom
236,49,17888.25,São Paulo,B,6.5,Bom
237,68,26344.38,São Paulo,A,8.6,Bom
238,62,4887.97,Belo Horizonte,B,7.7,Bom
239,16,42860.66,Rio de Janeiro,A,5.6,Bom
240,27,21553.2,Rio de Janeiro,A,6.7,Bom
241,52,8665.0,Belo Horizonte,B,5.0,Bom
242,79,24928.46,Belo Horizonte,A,9.4,Bom
243,7,599.75,Vitória,B,0.0,Bom
244,19,18095.83,Belo Horizonte,B,5.5,Bom
245,59,33193.11,Rio de Janeiro,B,7.9,Bom
246,27,34634.26,Rio de Janeiro,A,7.5,Bom
247,77,9304.42,Vitória,B,9.8,Bom
248,49,41007.37,Belo Horizonte,B,7.5,Bom
249,74,19663.66,São Paulo,A,7.5,Bom
250,73,34363.46,Vitória,A,8.0,Bom
251,22,34536.89,Belo Horizonte,A,9.7,Bom
252,73,46104.26,Belo Horizonte,A,7.9,Bom
253,52,10253.68,Vitória,B,7.1,Bom
254,47,11719.34,,A,6.7,Bom
255,81,12274.43,Rio de Janeiro,A,6.1,Bom
256,36,6955.81,Belo Horizonte,A,9.4,Bom
257,24,5646.34,Rio de Janeiro,A,5.6,Bom
258,43,16424.48,Belo Horizonte,A,8.1,Bom
259,35,44007.76,São Paulo,A,7.2,Bom
260,70,40928.43,Belo Horizonte,B,6.6,Bom
261,19,16309.01,Rio de Janeiro,B,5.7,Bom
262,49,35025.37,Vitória,A,5.8,Bom
263,23,9509.66,Rio de Janeiro,B,7.3,Bom
264,37,23141.16,Belo Horizonte,B,6.3,Bom
265,53,13888.35,Rio de Janeiro,B,7.1,Bom
266,29,21709.28,Rio de Janeiro,A,8.8,
267,47,8240.22,Belo Horizonte,A,5.6,Bom
268,28,15384.44,São Paulo,A,5.1,Bom
269,56,46186.0,Belo Horizonte,A,7.4,Bom
270,31,12549.1,São Paulo,B,6.4,Bom
271,23,6713.6,São Paulo,A,7.7,Bom
272,,28811.27,Belo Horizonte,A,7.0,Bom
273,18,37781.56,São Paulo,A,9.1,Bom
274,66,15732.23,Rio de Janeiro,A,9.3,Bom
275,37,35703.9,Rio de Janeiro,B,6.0,Bom
276,27,15676.66,São Paulo,A,7.8,Bom
277,50,13600.78,Belo Horizonte,B,7.8,Bom
278,64,24249.19,Vitória,B,5.7,Bom
279,43,27311.89,Vitória,B,5.3,Bom
280,78,7658.24,Vitória,B,9.6,Bom
281,32,38309.6,Rio de Janeiro,A,7.3,Bom
282,64,39003.77,Belo Horizonte,A,8.4,Bom
283,28,9999.41,Rio de Janeiro,B,6.2,Bom
284,47,23426.59,Belo Horizonte,B,5.5,Bom
285,54,43562.4,Rio de Janeiro,B,5.3,Bom
286,62,20639.2,Vitória,B,9.4,Bom
287,63,23439.89,Rio de Janeiro,B,7.7,Bom
288,46,6270.85,Belo Horizonte,B,7.0,Bom
289,64,13061.24,Rio de Janeiro,,6.3,
290,68,18358.94,Vitória,A,8.4,Bom
291,50,17954.41,São Paulo,B,,
292,25,30984.5,Belo Horizonte,B,6.5,Bom
293,56,3335.29,Belo Horizonte,A,5.4,Bom
294,32,23708.62,São Paulo,B,8.2,Bom
295,68,32293.19,Rio de Janeiro,A,5.3,Bom
296,17,41419.75,Rio de Janeiro,A,7.7,Bom
297,77,37229.58,São Paulo,B,5.6,Bom
298,36,21004.8,Rio de Janeiro,A,6.8,Bom
299,40,1763.16,,A,7.7,Bom
300,29,43011.67,São Paulo,A,5.2,Bom
301,71,18219.13,Vitória,B,9.3,Bom
302,39,35600.51,Belo Horizonte,A,10.0,Bom
303,69,3524.21,Vitória,B,9.7,Bom
304,23,6133.32,São Paulo,B,9.1,Bom
305,48,32750.44,Rio de Janeiro,A,8.7,Bom
306,74,7647.83,Rio de Janeiro,A,6.7,Bom
307,17,6592.76,Rio de Janeiro,,6.0,
308,69,20374.93,Rio de Janeiro,A,9.8,Bom
309,35,33676.88,Belo Horizonte,B,6.2,Bom
310,27,19199.91,Vitória,B,7.6,Bom
311,66,40259.09,Vitória,,7.6,
312,48,24729.81,São Paulo,B,8.8,
313,52,42947.37,Vitória,A,9.5,Bom
314,69,40113.09,São Paulo,A,5.8,Bom
315,74,39580.21,,A,6.4,Bom
316,27,21123.07,Rio de Janeiro,A,8.8,Bom
317,68,13456.72,Vitória,A,8.9,Bom
318,20,31681.04,Belo Horizonte,B,9.6,Bom
319,72,33548.25,São Paulo,A,8.3,Bom
320,75,44305.85,Belo Horizonte,B,9.1,
321,64,15164.09,Rio de Janeiro,A,6.5,Bom
322,26,34748.7,Vitória,B,7.4,Bom
323,17,27067.15,Rio de Janeiro,A,6.3,Bom
324,40,7185.22,São Paulo,B,5.7,Bom
325,56,45243.11,São Paulo,B,6.2,Bom
326,18,38092.86,Rio de Janeiro,A,6.4,Bom
327,71,4765.92,Vitória,B,8.5,Bom
328,53,38069.98,Rio de Janeiro,B,9.8,Bom
329,,33081.6,São Paulo,B,9.1,Bom
330,64,3029.65,Rio de Janeiro,A,9.8,Bom
331,75,15823.02,Belo Horizonte,A,6.3,Bom
332,53,19010.98,Rio de Janeiro,B,7.1,Bom
333,41,3699.56,Rio de Janeiro,B,7.5,Bom
334,71,27471.51,São Paulo,B,9.6,Bom
335,27,5489.59,Belo Horizonte,A,7.5,Bom
336,,5634.19,Belo Horizonte,A,9.4,Bom
337,62,8480.98,São Paulo,B,5.1,Bom
338,74,32822.89,Vitória,A,6.1,Bom
339,67,39770.61,Rio de Janeiro,B,6.2,Bom
340,63,11664.38,Rio de Janeiro,B,6.6,Bom
341,32,39991.55,Rio de Janeiro,B,8.5,Bom
342,82,40878.22,Vitória,B,7.8,Bom
343,72,7541.86,Rio de Janeiro,B,5.7,Bom
344,43,45523.9,Belo Horizonte,A,6.8,Bom
345,55,43292.31,Belo Horizonte,B,6.1,Bom
346,38,31861.27,Vitória,A,5.3,Bom
347,43,23727.63,Rio de Janeiro,B,8.5,Bom
348,81,16249.05,Vitória,A,8.2,Bom
349,66,5490.27,Rio de Janeiro,B,7.5,Bom
350,35,39381.25,Belo Horizonte,A,8.2,Bom
351,80,25570.05,Rio de Janeiro,B,5.4,Bom
352,54,16785.72,Belo Horizonte,B,7.7,Bom
353,29,40513.52,Vitória,A,9.0,Bom
354,55,43795.49,São Paulo,B,6.7,Bom
355,39,7684.63,Vitória,B,9.3,Bom
356,35,44382.37,Belo Horizonte,A,5.1,Bom
357,52,11818.8,Vitória,A,9.0,Bom
358,61,18993.69,São Paulo,B,9.6,Bom
359,44,21252.19,,A,8.0,Bom
360,35,31294.05,Belo Horizonte,B,8.5,Bom
361,70,5912.6,Rio de Janeiro,B,9.1,Bom
362,50,34909.4,Belo Horizonte,B,7.6,Bom
363,30,15361.36,Vitória,A,8.3,Bom
364,34,42073.33,Vitória,A,5.9,Bom
365,17,43257.45,São Paulo,A,6.8,Bom
366,65,1728.99,São Paulo,B,7.0,Bom
367,,26432.54,Rio de Janeiro,B,9.7,Bom
368,39,2295.84,Vitória,B,5.2,Bom
369,72,34857.46,São Paulo,A,8.1,Bom
370,18,16609.3,São Paulo,,6.9,
371,80,42519.12,Vitória,B,7.9,Bom
372,30,3052.75,Rio de Janeiro,B,5.5,Bom
373,57,21630.15,São Paulo,A,5.9,Bom
374,81,25795.07,São Paulo,B,8.9,Bom
375,69,45291.9,Rio de Janeiro,A,7.2,Bom
376,72,12585.18,Belo Horizonte,A,9.1,Bom
377,54,36184.98,São Paulo,B,9.7,Bom
378,77,24853.62,Rio de Janeiro,B,6.0,Bom
379,78,28173.56,Vitória,A,9.7,Bom
380,37,15133.93,Rio de Janeiro,A,9.3,Bom
381,17,23997.84,São Paulo,A,5.5,Bom
382,57,36347.13,Rio de Janeiro,B,6.8,Bom
383,16,31207.65,Vitória,A,8.2,Bom
384,40,45382.05,Vitória,B,7.1,Bom
385,18,37955.14,Belo Horizonte,B,5.0,Bom
386,62,23345.48,Rio de Janeiro,B,7.8,Bom
387,25,4561.45,Rio de Janeiro,B,7.2,Bom
388,55,22594.94,Rio de Janeiro,A,5.3,Bom
389,33,6382.83,São Paulo,A,6.3,Bom
390,69,22918.51,Rio de Janeiro,A,5.7,Bom
391,74,5873.83,Vitória,B,9.1,Bom
392,72,2955.8,São Paulo,B,7.2,Bom
393,64,22349.22,Belo Horizonte,B,6.5,Bom
394,53,10271.89,Belo Horizonte,A,7.6,Bom
395,46,43195.92,Rio de Janeiro,A,5.6,Bom
396,60,39603.21,Belo Horizonte,B,7.5,Bom
397,17,,Belo Horizonte,B,8.4,
398,52,23604.96,Rio de Janeiro,A,5.3,Bom
399,58,31990.71,Rio de Janeiro,B,5.9,Bom
400,,858.23,Belo Horizonte,A,1.1,Bom
401,60,44133.83,Vitória,B,8.2,Bom
402,66,3495.44,Vitória,B,8.4,Bom
403,33,36596.44,Belo Horizonte,A,7.1,Bom
404,74,3942.68,Rio de Janeiro,A,5.3,Bom
405,56,26552.23,São Paulo,A,8.9,Bom
406,53,11600.56,Vitória,B,5.3,Bom
407,79,19794.93,Belo Horizonte,B,8.2,Bom
408,55,34323.03,São Paulo,A,6.3,Bom
409,17,19726.0,São Paulo,B,5.6,Bom
410,71,11055.14,Rio de Janeiro,B,5.4,Bom
411,81,25549.84,Belo Horizonte,A,9.3,Bom
412,61,2617.55,Rio de Janeiro,B,7.2,Bom
413,82,35552.06,Rio de Janeiro,B,9.1,Bom
414,40,42065.52,Vitória,A,6.8,Bom
415,59,26893.41,Vitória,B,7.9,Bom
416,66,32601.78,Rio de Janeiro,A,5.3,Bom
417,71,10410.59,Rio de Janeiro,A,,
418,31,27443.77,Rio de Janeiro,A,9.2,Bom
419,75,36240.64,São Paulo,B,6.4,Bom
420,43,,Belo Horizonte,,6.3,
421,21,14627.49,São Paulo,A,5.7,Bom
422,24,31291.23,Belo Horizonte,B,6.8,Bom
423,68,46177.74,Vitória,B,5.3,Bom
424,68,46249.02,Rio de Janeiro,,6.1,
425,29,32783.73,Vitória,B,9.1,Bom
426,55,33069.59,Rio de Janeiro,B,7.5,Bom
427,34,14846.47,Belo Horizonte,B,6.0,Bom
428,59,29212.73,Rio de Janeiro,B,7.3,Bom
429,71,45512.6,Vitória,B,9.0,Bom
430,42,36522.31,Rio de Janeiro,A,6.5,Bom
431,52,9980.38,Belo Horizonte,A,8.9,Bom
432,64,2300.36,Rio de Janeiro,B,8.9,Bom
433,72,35527.13,Belo Horizonte,A,9.2,Bom
434,23,36134.46,Belo Horizonte,B,5.8,Bom
435,26,41842.25,Belo Horizonte,B,8.7,
436,46,23022.3,Belo Horizonte,A,6.1,Bom
437,66,12628.17,São Paulo,B,7.3,Bom
438,46,5324.85,São Paulo,A,6.2,Bom
439,71,10256.84,Belo Horizonte,A,5.2,Bom
440,79,9957.77,Rio de Janeiro,A,8.4,Bom
441,32,17723.96,Vitória,A,7.3,Bom
442,53,33181.17,Vitória,A,6.2,Bom
443,33,26837.39,Belo Horizonte,A,5.5,Bom
444,23,31149.79,Rio de Janeiro,B,6.8,Bom
445,21,3404.32,Rio de Janeiro,B,8.6,Bom
446,73,25599.28,Rio de Janeiro,A,8.3,Bom
447,77,15062.14,Vitória,A,9.1,Bom
448,82,10803.21,Vitória,B,6.0,Bom
449,34,20589.84,São Paulo,B,6.6,Bom
450,26,40473.52,São Paulo,B,9.8,Bom
451,32,29648.97,São Paulo,A,6.5,Bom
452,60,35884.02,Belo Horizonte,A,6.6,Bom
453,76,42710.02,Rio de Janeiro,B,8.4,Bom
454,76,1874.02,Rio de Janeiro,B,6.6,Bom
455,28,32754.1,São Paulo,A,8.9,Bom
456,56,32130.73,São Paulo,B,9.9,Bom
457,18,3131.28,São Paulo,A,9.5,Bom
458,78,46255.23,Belo Horizonte,A,7.9,Bom
459,69,10200.15,Belo Horizonte,A,5.8,Bom
460,30,40326.39,Belo Horizonte,B,8.3,Bom
461,30,28251.11,São Paulo,B,5.1,Bom
462,69,8183.81,Rio de Janeiro,B,9.9,Bom
463,24,8452.11,Rio de Janeiro,B,6.2,Bom
464,18,31551.83,Rio de Janeiro,A,7.9,Bom
465,48,32536.31,São Paulo,A,7.9,Bom
466,69,2595.45,Rio de Janeiro,A,8.3,Bom
467,76,35852.21,Belo Horizonte,A,5.1,Bom
468,33,12085.77,Belo Horizonte,A,8.5,Bom
469,18,6478.54,Rio de Janeiro,B,8.2,Bom
470,16,27755.63,Rio de Janeiro,A,7.8,Bom
471,21,18677.22,Vitória,A,5.3,Bom
472,71,24945.29,Vitória,B,8.9,Bom
473,48,32353.65,,B,8.3,Bom
474,29,15192.35,São Paulo,B,5.3,Bom
475,29,31232.37,Rio de Janeiro,A,5.1,Bom
476,36,41876.01,Rio de Janeiro,B,6.8,Bom
477,66,35192.8,Rio de Janeiro,B,7.5,Bom
478,58,26078.42,Belo Horizonte,B,7.1,Bom
479,46,42282.78,Vitória,A,5.7,Bom
480,74,35928.28,Vitória,A,9.2,Bom
481,55,16509.6,Belo Horizonte,A,7.3,Bom
482,20,21890.97,Rio de Janeiro,A,7.7,Bom
483,16,28652.39,Vitória,B,6.0,Bom
484,67,26108.93,Rio de Janeiro,B,6.5,Bom
485,28,38129.57,São Paulo,A,9.6,Bom
486,34,33346.62,Belo Horizonte,A,8.7,Bom
487,78,41350.84,Rio de Janeiro,A,8.5,Bom
488,42,39187.91,São Paulo,A,9.6,Bom
489,48,29074.27,Belo Horizonte,A,6.3,Bom
490,36,23233.96,Belo Horizonte,A,5.8,Bom
491,75,30046.54,Belo Horizonte,B,6.8,Bom
492,66,21272.13,Vitória,B,7.6,Bom
493,67,30279.88,Rio de Janeiro,B,7.0,Bom
494,55,36892.72,São Paulo,A,5.1,Bom
495,44,19007.32,São Paulo,A,7.6,Bom
496,27,19816.68,Vitória,A,8.4,Bom
497,81,24791.38,São Paulo,B,8.8,Bom
498,35,1792.92,,B,8.9,Bom
499,,15248.18,Vitória,A,7.3,Bom
500,78,5900.36,Rio de Janeiro,B,9.1,Bom
501,82,29569.55,São Paulo,A,8.2,Bom
502,52,6531.32,Belo Horizonte,B,8.5,Bom
503,77,8987.6,Rio de Janeiro,B,6.4,Bom
504,50,,Vitória,,8.2,
505,74,36290.84,São Paulo,A,7.3,Bom
506,44,45045.3,Belo Horizonte,A,6.8,Bom
507,65,3703.99,São Paulo,A,9.9,Bom
508,43,15985.36,Rio de Janeiro,A,7.8,Bom
509,50,11271.24,Belo Horizonte,B,8.7,Bom
510,57,40471.65,Belo Horizonte,A,,
511,79,12776.6,São Paulo,B,9.1,Bom
512,24,6620.61,Rio de Janeiro,B,7.0,Bom
513,77,24201.95,São Paulo,B,9.8,Bom
514,52,8277.34,Rio de Janeiro,B,8.3,Bom
515,16,39407.31,Belo Horizonte,B,6.7,Bom
516,20,39875.72,São Paulo,B,8.3,Bom
517,70,40621.62,São Paulo,B,8.1,Bom
518,16,23389.14,Vitória,A,9.1,Bom
519,29,44323.1,Rio de Janeiro,B,5.4,Bom
520,18,37929.47,Rio de Janeiro,A,7.3,Bom
521,19,13236.87,São Paulo,A,6.9,Bom
522,37,29082.27,Rio de Janeiro,A,6.3,Bom
523,61,17407.42,Vitória,A,7.5,Bom
524,29,23378.35,São Paulo,B,6.3,Bom
525,47,15756.31,Vitória,A,9.6,Bom
526,30,31198.57,Rio de Janeiro,B,7.1,Bom
527,27,38749.05,Vitória,A,7.1,Bom
528,61,34638.14,Rio de Janeiro,B,8.9,Bom
529,23,17697.48,Rio de Janeiro,B,9.1,Bom
530,60,18523.82,Belo Horizonte,B,5.1,Bom
